Depth Of Objectoin,Left Eye Rotation, , , Right Eye Rotation, , , Left Eye Rotational Correction, , , Right Eye Rotational Correctoin, , 
13.61194, (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (0.0, 0.0, 0.0), (0.0, 359.7, 0.0)
5.194628, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.0, -0.7, 358.2)
5.004116, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.7, 356.8)
5.004116, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.7, 356.8)
5.004116, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.7, 356.8)
5.004116, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.7, 356.8)
5.004116, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.7, 356.8)
5.004116, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.7, 356.8)
5.004116, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.7, 356.8)
5.004116, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.7, 356.8)
5.004116, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.7, 356.8)
5.004116, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.7, 356.8)
4.026335, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.1, -1.0, 352.8)
4.026335, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.1, -1.0, 352.8)
4.026335, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.1, -1.0, 352.8)
4.026335, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.1, -1.0, 352.8)
4.026335, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.1, -1.0, 352.8)
4.026335, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.1, -1.0, 352.8)
4.026335, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.1, -1.0, 352.8)
3.995896, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.1, -1.0, 351.7)
4.001834, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.2, -0.9, 351.3)
4.003719, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.2, -0.9, 351.4)
4.021706, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.2, -0.9, 351.5)
4.041333, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.2, -0.9, 351.4)
4.065781, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.2, -0.9, 351.1)
4.05505, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.2, -0.9, 351.1)
4.007853, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.3, -0.9, 351.1)
3.965829, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.3, -0.9, 351.1)
3.866756, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.3, -0.9, 351.2)
3.811657, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.3, -1.0, 351.2)
3.683437, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.3, -1.0, 351.2)
3.607618, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.3, -1.0, 351.1)
3.464602, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.3, -1.1, 350.2)
3.404556, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.3, -1.1, 349.6)
3.304408, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.3, -1.1, 348.3)
3.263797, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.2, -1.2, 347.7)
3.192588, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.2, -1.2, 346.5)
3.161532, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.2, -1.2, 345.8)
3.102982, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.2, -1.2, 344.6)
3.081737, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.2, -1.2, 344.1)
3.060062, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.2, -1.2, 343.7)
3.059092, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.2, -1.2, 343.8)
3.074335, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.2, -1.2, 344.4)
3.095307, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.1, -1.2, 345.1)
3.164315, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.1, -1.2, 346.9)
3.217473, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.1, -1.2, 348.1)
3.36617, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.1, -1.1, 350.2)
3.463244, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (-0.1, -1.1, 350.7)
3.671094, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.0, -1.0, 351.6)
3.762191, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.0, -1.0, 352.4)
3.929929, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.0, -1.0, 353.6)
4.029817, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.0, -0.9, 354.2)
4.297765, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.0, -0.9, 355.3)
4.441474, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.0, -0.9, 355.9)
4.696319, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.8, 356.8)
4.789606, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.8, 357.0)
4.944028, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.7, 356.8)
5.064528, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.7, 356.6)
5.202523, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.7, 356.1)
5.235579, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.7, 355.8)
5.214714, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.7, 355.5)
5.181675, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.7, 355.1)
5.07603, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.7, 354.0)
4.997471, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.7, 353.6)
4.813841, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.7, 352.8)
4.730759, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.8, 352.6)
4.566987, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.8, 352.5)
4.495042, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.8, 352.5)
4.437827, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.8, 352.8)
4.419782, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.8, 353.1)
4.397791, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.8, 353.7)
4.397919, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.1, -0.9, 353.9)
4.503677, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.0, -0.8, 353.9)
4.56063, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.0, -0.8, 353.9)
4.655627, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.0, -0.8, 353.8)
4.702367, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.0, -0.8, 353.6)
4.799551, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.0, -0.8, 353.4)
4.870273, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.0, -0.8, 353.3)
5.059191, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.0, -0.8, 353.7)
5.16951, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.0, -0.7, 354.1)
5.467931, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.0, -0.7, 354.9)
5.638945, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.0, -0.7, 355.4)
6.070128, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.0, -0.6, 356.4)
6.327963, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.0, -0.6, 356.9)
6.947165, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.0, -0.6, 357.7)
7.384298, (10.9, 14.5, 0.0), (10.9, 14.5, 0.0), (0.0, 0.0, 0.0), (0.0, -0.5, 358.1)
